,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-07 04:00:00+01:00,41.28,-4.8733196,-0.107777655,-4.478837,-0.055682745,0.6175723,1.2669525,4.8745112,0.6992328943115071
2021-01-07 05:00:00+01:00,45.54,-4.5416975,0.05994574,-4.167943,0.12295669,0.58680296,359.24377,4.5420933,0.5657137933530398
2021-01-07 06:00:00+01:00,55.97,-4.2105284,-0.084687054,-3.86028,-0.015726537,0.5567427,1.1522522,4.21138,0.450922508467092
2021-01-07 07:00:00+01:00,67.8,-4.2201357,-0.51643705,-3.8999357,-0.4361062,0.530536,6.9768677,4.2516174,0.4639713445458349
2021-01-07 08:00:00+01:00,86.51,-4.445365,-0.92945594,-4.0988503,-0.8273831,0.51117355,11.809525,4.541493,0.5654895082688874
2021-01-07 09:00:00+01:00,83.86,-4.5657997,-0.88078403,-4.210621,-0.7699932,0.49871093,10.918762,4.649979,0.606990129060936
2021-01-07 10:00:00+01:00,82.44,-4.193535,-0.7014788,-3.8604984,-0.5950251,0.49130005,9.496323,4.2518005,0.4640312930365607
2021-01-07 11:00:00+01:00,85.99,-3.726326,-1.2257843,-3.2872915,-1.0147419,0.47988707,18.208755,3.922761,0.3644216384559428
2021-01-07 12:00:00+01:00,84.71,-3.626567,-2.2243109,-3.2536507,-2.0104694,0.48074216,31.522385,4.2543564,0.4648686132194921
2021-01-07 13:00:00+01:00,82.29,-3.7641792,-2.763729,-3.394208,-2.5396433,0.48786175,36.286804,4.6698227,0.6147942481001881
2021-01-07 14:00:00+01:00,78.62,-4.0441236,-3.633462,-3.619729,-3.344223,0.49779218,41.938263,5.436633,0.9701049017784348
2021-01-07 15:00:00+01:00,81.57,-4.264881,-4.356471,-3.8545551,-4.042486,0.5171311,45.608673,6.096561,1.3679914495287595
2021-01-07 16:00:00+01:00,89.68,-4.538657,-5.1187515,-4.093566,-4.7286787,0.53856766,48.437485,6.8411274,1.9329101012140684
2021-01-07 17:00:00+01:00,100.0,-4.6056414,-5.428092,-4.1165266,-4.998131,0.55398333,49.685974,7.118716,2.177878161138018
2021-01-07 18:00:00+01:00,90.43,-4.172041,-5.070874,-3.8062468,-4.682024,0.5528821,50.554306,6.5665584,1.7093934960480923
2021-01-07 19:00:00+01:00,80.28,-3.406065,-4.8991184,-3.1044865,-4.5777426,0.53954095,55.191414,5.9667945,1.2824837235600868
2021-01-07 20:00:00+01:00,66.8,-2.6695013,-5.4051275,-2.4125118,-5.027155,0.52800655,63.71602,6.028403,1.3226209928927648
2021-01-07 21:00:00+01:00,59.33,-2.3704891,-5.777582,-2.1135025,-5.3692484,0.5241716,67.692116,6.2449718,1.4703477342317062
2021-01-07 22:00:00+01:00,58.26,-2.1990547,-5.735647,-1.95193,-5.3461847,0.5181526,69.02312,6.1427593,1.3993267007938406
2021-01-07 23:00:00+01:00,52.25,-1.5647945,-5.5755243,-1.4524908,-5.266218,0.49993765,74.323006,5.790946,1.172403669197729
2021-01-08 00:00:00+01:00,49.31,-1.4465618,-5.6838923,-1.3335514,-5.382944,0.48272657,75.721245,5.865081,1.2180093659669509
